operation_id,order_id,batch_id,batch_index,batch_quantity,sequence_index,machine_group_required,machine_id,operation_quantity,unit_processing_time_minutes,processing_time_minutes,setup_time_minutes,total_duration_minutes,start_minute,end_minute,start_time,end_time,scheduled_duration_minutes,active_work_minutes,was_in_progress_at_replan
ORD_008_B02_OP_01,ORD_008,ORD_008_B02,2,5,1,CUT,M_CUT_01,5,10,50,10,60,0,60,2026-04-20 08:00:00,2026-04-20 09:00:00,60,60,False
ORD_012_B04_OP_01,ORD_012,ORD_012_B04,4,5,1,CUT,M_CUT_02,5,10,50,5,55,0,55,2026-04-20 08:00:00,2026-04-20 08:55:00,55,55,False
ORD_020_B02_OP_01,ORD_020,ORD_020_B02,2,5,1,WELD,M_WELD_01,5,10,50,15,65,40,105,2026-04-20 08:40:00,2026-04-20 09:45:00,65,65,False
ORD_018_B01_OP_01,ORD_018,ORD_018_B01,1,5,1,WELD,M_WELD_02,5,5,25,5,30,45,75,2026-04-20 08:45:00,2026-04-20 09:15:00,30,30,False
ORD_012_B04_OP_02,ORD_012,ORD_012_B04,4,5,2,ASSY,M_ASSY_01,5,10,50,15,65,55,120,2026-04-20 08:55:00,2026-04-20 10:00:00,65,65,False
ORD_001_B01_OP_01,ORD_001,ORD_001_B01,1,5,1,CUT,M_CUT_02,5,10,50,10,60,55,115,2026-04-20 08:55:00,2026-04-20 09:55:00,60,60,False
ORD_012_B02_OP_01,ORD_012,ORD_012_B02,2,5,1,CUT,M_CUT_01,5,10,50,5,55,60,115,2026-04-20 09:00:00,2026-04-20 09:55:00,55,55,False
ORD_018_B01_OP_02,ORD_018,ORD_018_B01,1,5,2,PAINT,M_PAINT_01,5,5,25,15,40,75,115,2026-04-20 09:15:00,2026-04-20 09:55:00,40,40,False
ORD_018_B02_OP_01,ORD_018,ORD_018_B02,2,1,1,WELD,M_WELD_02,1,5,5,5,10,75,85,2026-04-20 09:15:00,2026-04-20 09:25:00,10,10,False
ORD_008_B02_OP_02,ORD_008,ORD_008_B02,2,5,2,WELD,M_WELD_02,5,5,25,10,35,85,120,2026-04-20 09:25:00,2026-04-20 10:00:00,35,35,False
ORD_020_B03_OP_01,ORD_020,ORD_020_B03,3,5,1,WELD,M_WELD_01,5,10,50,15,65,105,175,2026-04-20 09:45:00,2026-04-20 10:55:00,70,65,True
ORD_012_B02_OP_02,ORD_012,ORD_012_B02,2,5,2,ASSY,M_ASSY_02,5,10,50,15,65,115,180,2026-04-20 09:55:00,2026-04-20 11:00:00,65,65,True
ORD_010_B02_OP_01,ORD_010,ORD_010_B02,2,5,1,CUT,M_CUT_01,5,10,50,5,55,115,170,2026-04-20 09:55:00,2026-04-20 10:50:00,55,55,True
ORD_009_B01_OP_01,ORD_009,ORD_009_B01,1,5,1,CUT,M_CUT_02,5,10,50,10,60,115,175,2026-04-20 09:55:00,2026-04-20 10:55:00,60,60,True
ORD_018_B02_OP_02,ORD_018,ORD_018_B02,2,1,2,PAINT,M_PAINT_01,1,5,5,15,20,115,135,2026-04-20 09:55:00,2026-04-20 10:15:00,20,20,False
ORD_012_B04_OP_03,ORD_012,ORD_012_B04,4,5,3,PACK,M_PACK_01,5,5,25,5,30,120,150,2026-04-20 10:00:00,2026-04-20 10:30:00,30,30,False
ORD_001_B01_OP_02,ORD_001,ORD_001_B01,1,5,2,WELD,M_WELD_02,5,5,25,20,45,120,165,2026-04-20 10:00:00,2026-04-20 10:45:00,45,45,True
ORD_018_B02_OP_03,ORD_018,ORD_018_B02,2,1,3,ASSY,M_ASSY_01,1,10,10,15,25,135,160,2026-04-20 10:15:00,2026-04-20 10:40:00,25,25,True
ORD_020_B02_OP_02,ORD_020,ORD_020_B02,2,5,2,PAINT,M_PAINT_01,5,10,50,25,75,135,210,2026-04-20 10:15:00,2026-04-20 11:30:00,75,75,True
ORD_018_B01_OP_03,ORD_018,ORD_018_B01,1,5,3,ASSY,M_ASSY_01,5,10,50,15,65,160,225,2026-04-20 10:40:00,2026-04-20 11:45:00,65,65,False
ORD_013_B02_OP_01,ORD_013,ORD_013_B02,2,5,1,WELD,M_WELD_02,5,10,50,15,65,165,230,2026-04-20 10:45:00,2026-04-20 11:50:00,65,65,False
ORD_012_B01_OP_01,ORD_012,ORD_012_B01,1,5,1,CUT,M_CUT_01,5,10,50,5,55,170,225,2026-04-20 10:50:00,2026-04-20 11:45:00,55,55,False
ORD_014_B01_OP_01,ORD_014,ORD_014_B01,1,5,1,CUT,M_CUT_02,5,10,50,15,65,175,240,2026-04-20 10:55:00,2026-04-20 12:00:00,65,65,False
ORD_020_B04_OP_01,ORD_020,ORD_020_B04,4,5,1,WELD,M_WELD_01,5,10,50,15,65,175,240,2026-04-20 10:55:00,2026-04-20 12:00:00,65,65,False
ORD_010_B02_OP_02,ORD_010,ORD_010_B02,2,5,2,ASSY,M_ASSY_02,5,5,25,5,30,180,210,2026-04-20 11:00:00,2026-04-20 11:30:00,30,30,False
ORD_012_B02_OP_03,ORD_012,ORD_012_B02,2,5,3,PACK,M_PACK_01,5,5,25,5,30,180,210,2026-04-20 11:00:00,2026-04-20 11:30:00,30,30,False
ORD_009_B01_OP_02,ORD_009,ORD_009_B01,1,5,2,ASSY,M_ASSY_02,5,10,50,15,65,210,275,2026-04-20 11:30:00,2026-04-20 12:35:00,65,65,False
ORD_001_B01_OP_03,ORD_001,ORD_001_B01,1,5,3,PAINT,M_PAINT_01,5,10,50,15,65,210,275,2026-04-20 11:30:00,2026-04-20 12:35:00,65,65,False
ORD_012_B01_OP_02,ORD_012,ORD_012_B01,1,5,2,ASSY,M_ASSY_01,5,10,50,15,65,225,290,2026-04-20 11:45:00,2026-04-20 12:50:00,65,65,False
ORD_003_B01_OP_01,ORD_003,ORD_003_B01,1,5,1,CUT,M_CUT_01,5,5,25,5,30,225,255,2026-04-20 11:45:00,2026-04-20 12:15:00,30,30,False
ORD_013_B01_OP_01,ORD_013,ORD_013_B01,1,5,1,WELD,M_WELD_02,5,10,50,15,65,230,295,2026-04-20 11:50:00,2026-04-20 12:55:00,65,65,False
ORD_006_B02_OP_01,ORD_006,ORD_006_B02,2,1,1,CUT,M_CUT_02,1,5,5,10,15,240,255,2026-04-20 12:00:00,2026-04-20 12:15:00,15,15,False
ORD_020_B01_OP_01,ORD_020,ORD_020_B01,1,5,1,WELD,M_WELD_01,5,10,50,15,65,240,305,2026-04-20 12:00:00,2026-04-20 13:05:00,65,65,False
ORD_008_B03_OP_01,ORD_008,ORD_008_B03,3,2,1,CUT,M_CUT_01,2,10,20,10,30,255,285,2026-04-20 12:15:00,2026-04-20 12:45:00,30,30,False
ORD_006_B01_OP_01,ORD_006,ORD_006_B01,1,5,1,CUT,M_CUT_02,5,5,25,10,35,255,290,2026-04-20 12:15:00,2026-04-20 12:50:00,35,35,False
